Ticker;Empresa;Sector;Industria;País;Moneda;Precio actual;Cap. Mercado;Beta;P/E (trailing);P/E (forward);P/B;P/S;EV/EBITDA;PEG Ratio;Valor Graham;Upside vs Graham (%);ROE (%);ROA (%);Margen Bruto (%);Margen Operativo (%);Margen Neto (%);Margen EBITDA (%);Deuda/Equity;Current Ratio;Quick Ratio;Crec. Ingresos YoY (%);Crec. Ganancias YoY (%);Div. Yield (%);Payout Ratio (%);Máximo 52s;Mínimo 52s;Dist. Máx 52s (%);Dist. Mín 52s (%);Score Cuantitativo
TRAN.BA;Transener;Utilities;Utilities - Regulated Electric;Argentina;ARS;3880,0;1725334290432,0;0,633;8,877296;7.510661;1,9957072;3,0102947;4,641;;4372.54;12.69;23,15;15.0;55,24;53,52;33,92;56,61;0,121;1,298;1,214;38,5;105,5;825,0;69,02;4410,0;1441,0;-12,02;169,26;86.9
CYRE3.SA;Cyrela;Consumer Cyclical;Residential Construction;Brazil;BRL;23,23;8510237184,0;0,302;5,083151;4.0433965;0,83202004;0,90102977;9,229;0.21;53.58;130.65;22,37;3.88;32,87;17,4;21,25;16,31;70,56;3,843;2,215;24,2;16,4;1570,0;83,13;39,06;23,22;-40,53;0,04;75.8
NVDA;NVIDIA;Technology;Semiconductors;United States;USD;209,355;5088373374976,0;2,335;37,82;18.627249;28,88;21,03;31,43;0.74;26.71;-87.24;76,33;51.19;71,07;60,38;55,6;66,94;0,07;3,91;3,24;65,47;64,75;0,02;0,81;216,83;104,08;-3,45;101,15;74.1
CRES.BA;Cresud;Industrials;Conglomerates;Argentina;ARS;1694,0;1198616608768,0;0,103;5,7233596;946.3687;0,9930982;1,1767248;19,114;;3370.41;98.96;20,96;2.3;41,43;24,26;19,21;20,19;78,531;1,426;1,062;20,3;182,3;610,0;35,1;2210,0;1217,0;-23,35;39,19;69.8
META;Meta Platforms;Communication Services;Internet Content & Information;United States;USD;673,4115;1709403406336,0;1,309;27,53;18.67475;7,66;8,28;16,38;1.1;213.08;-68.36;27,83;16.21;82,0;41,44;30,08;52,02;0,39;2,6;2,6;22,17;-3,05;0,32;8,81;796,25;520,26;-15,43;29,44;66.1
IRSA.BA;IRSA;Real Estate;Real Estate Services;Argentina;ARS;2130,0;1726740299776,0;0,214;3,5865831;308.69565;0,87584543;3,5372498;11,618;0.34;5700.55;167.63;31,18;3.87;61,63;54,97;98,94;43,61;50,658;1,49;1,339;-2,4;-27,6;1029,0;37,86;2870,0;1580,0;-25,78;34,81;65.7
GOOGL;Alphabet (Google);Communication Services;Internet Content & Information;United States;USD;351,36;4250557743104,0;1,128;28,69;25.972605;9,13;9,41;21,15;2.39;91.41;-73.98;31,83;15.43;59,65;32,03;32,81;44,86;0,14;2,01;2,01;15,09;32,01;0,26;7,6;355,79;147,84;-1,25;137,66;63.0
MSFT;Microsoft;Technology;Software - Infrastructure;United States;USD;425,005;3158797713408,0;1,107;20,72;22.45662;6,26;8,35;13,87;1.34;137.5;-67.65;30,23;14.86;67,94;46,78;40,31;62,54;0,29;1,23;1,22;17,79;31,34;0,95;19,77;555,45;356,28;-23,48;19,29;62.8
BYMA.BA;BYMA;Financial Services;Capital Markets;Argentina;ARS;303,5;2311488798720,0;0,278;10,724381;5.70918;3,5344534;9,001998;5,293;;233.83;-22.96;25,2;4.34;75,2;64,57;67,15;67,37;;1,18;0,786;36,0;365,6;923,0;98,32;351,75;142,0;-13,72;113,73;62.1
CEPU.BA;Central Puerto;Utilities;Utilities - Regulated Electric;Argentina;ARS;2137,0;3205205852160,0;-0,014;9,2643175;6.12128;1,2562939;2,920668;7,673;;2971.28;39.04;13,93;5.22;35,88;22,39;31,56;42,12;18,846;1,773;1,636;11,3;;;0,0;2820,0;1154,0;-24,22;85,18;60.9
